Saturation,Layer_thickness,Roll_speed,Feed_powder_ratio,y
35,80,6,1,41.82
35,80,10,2,47.58
35,80,14,3,50.79
35,100,6,2,59.05
35,100,10,3,61.91
35,100,14,1,52.57
35,120,6,3,79.43
35,120,10,1,38.52
35,120,14,2,39.97
70,80,6,2,77.93
70,80,10,3,73.65
70,80,14,1,61.92
70,100,6,3,90.1
70,100,10,1,63.14
70,100,14,2,72.34
70,120,6,1,72.73
70,120,10,2,74.82
70,120,14,3,77.13
100,80,6,3,69.06
100,80,10,1,59.58
100,80,14,2,75.14
100,100,6,1,58.27
100,100,10,2,78.79
100,100,14,3,83.21
100,120,6,2,71.83
100,120,10,3,72.42
100,120,14,1,59.91
