Binder_amount,Particle_size,Nozzle_diameter,Printing_speed,y_1,y_2,y_3,y_4
13,300,0.8,10,0.784,110,1324.13,18
9,300,0.8,20,0.6695,150,1784.3,22
9,100,0.8,10,0.9897,193.9,1724.55,10
9,300,0.8,20,0.7025,140,1640,17
9,300,0.8,20,0.707,135,1629.29,17
9,300,1.2,10,0.694,124,1541.49,10
13,100,1.2,10,0.8604,190.5,3158.1,4
13,100,1.2,10,0.8975,170,2165.21,7
13,100,0.8,20,0.9487,201.5,1740.74,20
13,300,1.2,20,0.7605,132.9,1990.52,20
9,300,1.2,10,0.6652,134.8,2125.78,30
13,300,0.8,10,0.7525,194,1754.96,15
13,300,0.8,10,0.7009,128,1388.78,16
9,100,1.2,20,0.9991,206.3,1506.72,25
13,300,1.2,20,0.7894,208,1903.29,23
9,100,0.8,10,1.0255,266,1583.62,30
13,300,1.2,20,0.7909,94,2296.8,10
9,100,1.2,20,0.734,243.1,1416.44,20
13,100,0.8,20,0.9739,283.8,3354.24,8
13,100,0.8,20,0.8675,167.5,2942.77,8
13,100,1.2,10,0.9645,204.2,1720.1,9
9,300,1.2,10,0.806,197.9,1728.14,21
9,100,0.8,10,0.9413,206.9,1645.97,22
9,100,1.2,20,0.9709,292.8,1715.08,13
